step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
0,0.998107,LONG,0.002749,0.002744,0.000499,0.002244,0.002244
1,-0.996825,SHORT,-0.001503,0.001498,0.000997,0.000501,0.002745
2,-0.9973,SHORT,0.001969,-0.001964,0.0,-0.001964,0.000781
3,-0.997167,SHORT,-0.003215,0.003206,0.0,0.003206,0.003987
4,-0.997633,SHORT,-0.000727,0.000726,0.0,0.000725,0.004712
5,-0.723936,SHORT,-0.000312,0.000226,0.000137,8.9e-05,0.004801
6,-0.401644,SHORT,0.001403,-0.000563,0.000161,-0.000725,0.004077
7,-0.968087,SHORT,-0.000831,0.000804,0.000283,0.000521,0.004598
8,-0.885583,SHORT,-0.001456,0.001289,4.1e-05,0.001248,0.005846
9,0.997227,LONG,0.008291,0.008268,0.000941,0.007327,0.013173
10,0.995013,LONG,0.006071,0.006041,1e-06,0.00604,0.019212
11,-0.0,FLAT,0.001896,-0.0,0.000498,-0.000498,0.018715
12,0.79231,LONG,0.004648,0.003683,0.000396,0.003286,0.022001
13,-0.156909,SHORT,-0.003062,0.00048,0.000475,6e-06,0.022007
14,0.99451,LONG,0.001787,0.001778,0.000576,0.001202,0.023209
15,0.994288,LONG,-0.005577,-0.005545,0.0,-0.005545,0.017664
16,0.995953,LONG,0.003687,0.003672,1e-06,0.003672,0.021335
17,0.970696,LONG,0.005506,0.005344,1.3e-05,0.005332,0.026667
18,0.238227,LONG,-0.002851,-0.000679,0.000366,-0.001045,0.025622
19,0.995092,LONG,0.000357,0.000355,0.000378,-2.3e-05,0.025598
20,0.991929,LONG,0.004475,0.004439,2e-06,0.004437,0.030036
21,-0.996825,SHORT,-0.000964,0.000961,0.000994,-3.3e-05,0.030003
22,-0.996521,SHORT,0.000102,-0.000101,0.0,-0.000101,0.029901
23,-0.996185,SHORT,-0.001474,0.001468,0.0,0.001468,0.031369
24,-0.996341,SHORT,0.004567,-0.00455,0.0,-0.00455,0.026819
25,-0.996535,SHORT,-0.009359,0.009326,0.0,0.009326,0.036145
26,-0.99554,SHORT,-0.009653,0.00961,0.0,0.00961,0.045755
27,-0.993154,SHORT,-0.004551,0.00452,1e-06,0.004519,0.050274
28,-0.988432,SHORT,0.015736,-0.015554,2e-06,-0.015557,0.034717
29,-0.984784,SHORT,-0.01067,0.010507,2e-06,0.010505,0.045223
30,0.467863,LONG,-0.00129,-0.000604,0.000726,-0.00133,0.043893
31,0.656382,LONG,-0.013988,-0.009181,9.4e-05,-0.009276,0.034617
32,0.974149,LONG,-0.00778,-0.007579,0.000159,-0.007738,0.026879
33,0.462677,LONG,-0.010611,-0.004909,0.000256,-0.005165,0.021714
34,0.681451,LONG,0.001865,0.001271,0.000109,0.001162,0.022876
35,0.445706,LONG,-0.001598,-0.000712,0.000118,-0.00083,0.022045
36,0.435362,LONG,0.001385,0.000603,5e-06,0.000598,0.022643
37,0.998332,LONG,0.023055,0.023016,0.000281,0.022735,0.045378
38,0.996863,LONG,-0.015575,-0.015526,1e-06,-0.015527,0.029852
39,0.998346,LONG,0.006585,0.006574,1e-06,0.006573,0.036425
40,0.997918,LONG,-0.006902,-0.006887,0.0,-0.006888,0.029537
41,-0.973424,SHORT,0.00206,-0.002005,0.000986,-0.002991,0.026546
42,-0.989979,SHORT,-0.010715,0.010607,8e-06,0.010599,0.037145
43,-0.955919,SHORT,0.00032,-0.000306,1.7e-05,-0.000323,0.036822
44,-0.669108,SHORT,0.008229,-0.005506,0.000143,-0.00565,0.031173
45,0.996963,LONG,0.000476,0.000474,0.000833,-0.000359,0.030814
46,0.997108,LONG,-0.009558,-0.009531,0.0,-0.009531,0.021283
47,0.997725,LONG,-0.005618,-0.005605,0.0,-0.005606,0.015678
48,0.997731,LONG,-0.007,-0.006984,0.0,-0.006984,0.008694
49,-0.400984,SHORT,-0.000919,0.000369,0.000699,-0.000331,0.008363
50,-0.22616,SHORT,-0.004282,0.000968,8.7e-05,0.000881,0.009244
51,0.269214,LONG,0.000272,7.3e-05,0.000248,-0.000175,0.009069
52,0.003252,FLAT,-0.009603,-3.1e-05,0.000133,-0.000164,0.008905
53,-0.604571,SHORT,0.001753,-0.00106,0.000304,-0.001364,0.007541
54,0.013654,FLAT,0.007959,0.000109,0.000309,-0.0002,0.007341
55,-0.993282,SHORT,-0.000217,0.000216,0.000503,-0.000288,0.007053
56,-0.991248,SHORT,0.002874,-0.002849,1e-06,-0.00285,0.004203
57,0.998261,LONG,0.004538,0.00453,0.000995,0.003536,0.007739
58,0.998114,LONG,-0.005839,-0.005828,0.0,-0.005828,0.001911
59,0.998444,LONG,0.001084,0.001082,0.0,0.001082,0.002993
60,0.998332,LONG,-0.004451,-0.004444,0.0,-0.004444,-0.001451
61,-0.997636,SHORT,-0.004198,0.004188,0.000998,0.00319,0.001739
62,-0.997181,SHORT,0.001856,-0.001851,0.0,-0.001851,-0.000112
63,-0.997703,SHORT,0.006468,-0.006453,0.0,-0.006454,-0.006565
64,-0.997667,SHORT,-0.002115,0.00211,0.0,0.00211,-0.004455
65,0.998324,LONG,0.003144,0.003139,0.000998,0.002141,-0.002314
66,0.998018,LONG,0.003782,0.003774,0.0,0.003774,0.00146
67,0.997817,LONG,0.000377,0.000377,0.0,0.000376,0.001836
