step,position,action,position_change,edge_15m,edge_1h,edge_4h,edge_1d,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl,correct_direction
0,0.020388,FLAT,0.020388,0.084451,-0.0108,0.18538,-0.18584,0.004355,8.9e-05,1e-05,7.9e-05,7.9e-05,1
1,0.024989,FLAT,0.004602,-0.173246,-0.041717,0.454431,-0.185811,0.000822,2.1e-05,2e-06,1.8e-05,9.7e-05,1
2,0.0,FLAT,0.024989,-0.416957,-0.046396,0.45588,-0.185811,0.001524,0.0,1.2e-05,-1.2e-05,8.4e-05,0
3,0.01081,FLAT,0.01081,-0.210133,-0.070097,0.445239,-0.185811,0.003392,3.7e-05,5e-06,3.1e-05,0.000116,1
4,-0.0,FLAT,0.01081,-0.607886,-0.071248,0.442791,-0.185811,-0.00187,0.0,5e-06,-5e-06,0.00011,1
5,0.015169,FLAT,0.015169,0.067154,-0.233198,0.400999,-0.185785,-0.000702,-1.1e-05,8e-06,-1.8e-05,9.2e-05,0
6,0.012898,FLAT,0.002271,0.029609,-0.199127,0.395603,-0.185785,0.002572,3.3e-05,1e-06,3.2e-05,0.000124,1
7,0.014201,FLAT,0.001303,-0.049656,-0.151241,0.387505,-0.185785,-0.001285,-1.8e-05,1e-06,-1.9e-05,0.000105,0
8,0.010501,FLAT,0.003699,0.08819,-0.128309,0.387505,-0.185785,-0.000234,-2e-06,2e-06,-4e-06,0.000101,0
9,0.009759,FLAT,0.000742,0.191542,0.495673,0.373465,-0.185761,-0.002928,-2.9e-05,0.0,-2.9e-05,7.2e-05,0
10,0.010738,FLAT,0.00098,0.135284,0.333439,0.373465,-0.185761,-0.002231,-2.4e-05,0.0,-2.4e-05,4.7e-05,0
11,0.019289,FLAT,0.00855,0.064021,0.172387,0.322357,-0.185761,-0.000588,-1.1e-05,4e-06,-1.6e-05,3.2e-05,0
12,0.015642,FLAT,0.003647,0.085792,0.148787,0.322357,-0.185761,-0.004834,-7.6e-05,2e-06,-7.7e-05,-4.6e-05,0
13,0.047733,FLAT,0.032092,0.317982,0.168465,0.354788,-0.185736,-0.00462,-0.000221,1.6e-05,-0.000237,-0.000282,0
14,0.060167,LONG,0.012434,0.237211,0.176087,0.354788,-0.185736,-0.009424,-0.000567,6e-06,-0.000573,-0.000855,0
15,0.154341,LONG,0.094174,0.355321,0.172452,0.340074,-0.185736,0.001078,0.000166,4.7e-05,0.000119,-0.000736,1
16,0.030884,FLAT,0.123457,-0.208633,0.129676,0.340074,-0.185736,-0.002878,-8.9e-05,6.2e-05,-0.000151,-0.000887,0
17,-0.185816,SHORT,0.2167,-0.084122,-0.14824,-0.09395,-0.185706,-0.00578,0.001074,0.000108,0.000966,7.9e-05,1
18,-0.160131,SHORT,0.025684,0.056184,-0.159517,-0.095751,-0.185706,0.004699,-0.000752,1.3e-05,-0.000765,-0.000686,0
19,-0.249387,SHORT,0.089256,-0.209798,-0.12786,-0.095998,-0.185706,-0.000842,0.00021,4.5e-05,0.000165,-0.000521,1
20,-0.214094,SHORT,0.035294,-0.021797,-0.138788,-0.096083,-0.185706,-0.002409,0.000516,1.8e-05,0.000498,-2.3e-05,1
21,0.108484,LONG,0.322578,0.167863,0.226002,-0.096257,-0.185663,0.000241,2.6e-05,0.000161,-0.000135,-0.000158,1
22,-0.059543,SHORT,0.168027,0.135563,0.098765,-0.0963,-0.185663,0.002168,-0.000129,8.4e-05,-0.000213,-0.000371,0
23,-0.229377,SHORT,0.169834,-0.206286,-0.062776,-0.09912,-0.185663,-0.000843,0.000193,8.5e-05,0.000108,-0.000263,1
24,-0.186636,SHORT,0.042741,0.076303,-0.1111,-0.09912,-0.185663,-0.003256,0.000608,2.1e-05,0.000586,0.000324,1
25,-0.175514,SHORT,0.011122,0.229973,-0.321406,-0.098956,-0.185663,-0.002903,0.00051,6e-06,0.000504,0.000828,1
26,-0.17363,SHORT,0.001884,0.171415,-0.330332,-0.098956,-0.185663,0.002178,-0.000378,1e-06,-0.000379,0.000448,0
27,-0.242623,SHORT,0.068993,-0.224356,-0.322538,-0.099035,-0.185663,-0.006671,0.001619,3.4e-05,0.001584,0.002033,1
28,-0.187678,SHORT,0.054945,0.066137,-0.322062,-0.099035,-0.185663,0.001945,-0.000365,2.7e-05,-0.000393,0.00164,0
29,-0.229169,SHORT,0.041491,0.016241,-0.280018,-0.100109,-0.185663,0.001942,-0.000445,2.1e-05,-0.000466,0.001174,0
30,-0.218675,SHORT,0.010494,0.164262,-0.282287,-0.100109,-0.185663,0.002784,-0.000609,5e-06,-0.000614,0.00056,0
31,-0.259167,SHORT,0.040491,-0.095719,-0.278313,-0.099993,-0.185663,0.000483,-0.000125,2e-05,-0.000146,0.000415,0
32,-0.234255,SHORT,0.024911,0.057372,-0.279723,-0.099993,-0.185663,0.010697,-0.002506,1.2e-05,-0.002518,-0.002104,0
33,-0.226515,SHORT,0.00774,-0.05898,0.135037,0.119627,-0.185663,-0.008403,0.001904,4e-06,0.0019,-0.000204,1
34,0.059338,LONG,0.285853,0.1256,0.114743,0.120259,-0.185663,-0.009326,-0.000553,0.000143,-0.000696,-0.0009,0
35,0.046054,FLAT,0.013284,-0.100556,0.068329,0.118347,-0.185663,0.003037,0.00014,7e-06,0.000133,-0.000767,1
36,0.039797,FLAT,0.006257,0.164885,0.049393,0.118313,-0.185663,-0.002429,-9.7e-05,3e-06,-0.0001,-0.000867,0
37,0.06232,LONG,0.022523,0.412564,-0.132046,0.118466,-0.185663,0.0,0.0,1.1e-05,-1.1e-05,-0.000878,0
38,0.030589,FLAT,0.031731,0.39325,-0.145007,0.118493,-0.185663,0.001701,5.2e-05,1.6e-05,3.6e-05,-0.000842,1
39,0.075423,LONG,0.044834,0.244396,-0.169466,0.121453,-0.185663,-0.000972,-7.3e-05,2.2e-05,-9.6e-05,-0.000938,0
40,0.009554,FLAT,0.06587,0.118786,-0.170565,0.121453,-0.185663,-0.000486,-5e-06,3.3e-05,-3.8e-05,-0.000975,0
41,0.011626,FLAT,0.002072,0.304757,0.080492,0.120081,-0.185663,-0.001582,-1.8e-05,1e-06,-1.9e-05,-0.000995,0
42,0.012087,FLAT,0.000462,0.086648,0.027374,0.120081,-0.185663,0.001095,1.3e-05,0.0,1.3e-05,-0.000982,1
43,0.008332,FLAT,0.003756,-0.097334,0.040088,0.120174,-0.185663,-0.006468,-5.4e-05,2e-06,-5.6e-05,-0.001037,0
44,0.104629,LONG,0.096297,0.364748,0.001716,0.120174,-0.185663,-0.007003,-0.000733,4.8e-05,-0.000781,-0.001818,0
45,0.134743,LONG,0.030114,0.088485,0.392998,0.120433,-0.185663,0.001478,0.000199,1.5e-05,0.000184,-0.001634,1
46,0.0928,LONG,0.041943,0.120493,0.363477,0.120433,-0.185663,-0.000739,-6.9e-05,2.1e-05,-9e-05,-0.001724,0
47,0.079042,LONG,0.013757,0.135281,0.135248,0.119595,-0.185663,-0.001479,-0.000117,7e-06,-0.000124,-0.001847,0
48,0.080666,LONG,0.001624,0.075164,0.119103,0.119595,-0.185663,-0.001482,-0.00012,1e-06,-0.00012,-0.001968,0
49,0.076447,LONG,0.00422,0.169791,-0.106582,-0.794728,-0.185663,-0.000742,-5.7e-05,2e-06,-5.9e-05,-0.002027,0
50,-0.16743,SHORT,0.243876,0.185579,-0.129715,-0.793714,-0.185663,0.00173,-0.00029,0.000122,-0.000412,-0.002438,0
51,-0.199129,SHORT,0.031699,0.130663,-0.114286,-0.792431,-0.185663,0.000247,-4.9e-05,1.6e-05,-6.5e-05,-0.002503,0
52,-0.181862,SHORT,0.017266,0.270438,-0.134524,-0.789099,-0.185663,0.005047,-0.000918,9e-06,-0.000927,-0.00343,0
53,-0.180565,SHORT,0.001297,0.067461,0.267285,-0.785593,-0.185663,-0.00209,0.000377,1e-06,0.000377,-0.003053,1
54,-0.173857,SHORT,0.006708,0.148662,0.25667,-0.78164,-0.185663,-0.001478,0.000257,3e-06,0.000254,-0.002799,1
55,-0.159522,SHORT,0.014335,0.186868,0.259352,-0.765598,-0.185663,0.003444,-0.000549,7e-06,-0.000557,-0.003356,0
56,-0.153051,SHORT,0.006471,0.096997,0.241065,-0.765598,-0.185663,0.000123,-1.9e-05,3e-06,-2.2e-05,-0.003378,0
57,-0.167204,SHORT,0.014153,0.056232,0.249829,-0.766379,-0.185663,-0.002828,0.000473,7e-06,0.000466,-0.002912,1
58,-0.17082,SHORT,0.003616,0.125125,0.198734,-0.766379,-0.185663,-0.001109,0.000189,2e-06,0.000188,-0.002725,1
59,-0.174885,SHORT,0.004065,0.09129,0.144529,-0.766682,-0.185663,0.000123,-2.2e-05,2e-06,-2.4e-05,-0.002748,0
60,-0.166577,SHORT,0.008308,0.157008,0.132527,-0.766682,-0.185663,0.001847,-0.000308,4e-06,-0.000312,-0.00306,0
61,-0.179773,SHORT,0.013196,0.079774,0.046368,-0.761329,-0.185663,0.001598,-0.000287,7e-06,-0.000294,-0.003354,0
62,-0.169883,SHORT,0.00989,0.125577,0.059672,-0.761329,-0.185663,-0.000246,4.2e-05,5e-06,3.7e-05,-0.003317,1
63,-0.183047,SHORT,0.013164,0.099642,0.064439,-0.761435,-0.185663,-0.001722,0.000315,7e-06,0.000309,-0.003009,1
64,-0.183273,SHORT,0.000226,0.123298,0.055488,-0.761435,-0.185663,0.002459,-0.000451,0.0,-0.000451,-0.003459,0
65,0.0,FLAT,0.183273,-0.039565,-0.067871,0.079657,-0.189088,0.001227,0.0,9.2e-05,-9.2e-05,-0.003551,0
66,0.0,FLAT,0.0,-0.063766,-0.080177,0.083056,-0.188951,-0.002701,-0.0,0.0,-0.0,-0.003551,1
67,0.0,FLAT,0.0,0.312784,-0.098153,0.080169,-0.188874,0.000246,0.0,0.0,0.0,-0.003551,0
68,0.003152,FLAT,0.003152,0.198302,-0.105492,0.081913,-0.188829,0.002701,9e-06,2e-06,7e-06,-0.003544,1
69,0.00879,FLAT,0.005638,-0.087655,0.173639,0.084871,-0.188467,-0.001595,-1.4e-05,3e-06,-1.7e-05,-0.003561,0
70,0.004588,FLAT,0.004202,-0.017142,0.113042,0.086485,-0.18845,0.004411,2e-05,2e-06,1.8e-05,-0.003543,1
71,0.015031,FLAT,0.010443,-0.345997,0.074936,0.089379,-0.188442,-0.002203,-3.3e-05,5e-06,-3.8e-05,-0.003581,0
72,0.009183,FLAT,0.005848,-0.05736,0.059968,0.089379,-0.188442,0.00098,9e-06,3e-06,6e-06,-0.003575,1
73,0.007523,FLAT,0.00166,-0.318589,0.039224,0.084749,-0.188361,0.001468,1.1e-05,1e-06,1e-05,-0.003565,1
74,0.010752,FLAT,0.003229,-0.094078,0.035449,0.084749,-0.188361,0.0,0.0,2e-06,-2e-06,-0.003566,0
75,0.009823,FLAT,0.000929,-0.085063,0.040444,0.086351,-0.188361,0.000489,5e-06,0.0,4e-06,-0.003562,1
76,0.012585,FLAT,0.002763,-0.124129,0.038747,0.086351,-0.188361,-0.006004,-7.6e-05,1e-06,-7.7e-05,-0.003639,0
77,0.01613,FLAT,0.003545,0.219979,-0.139108,0.089541,-0.188366,0.002823,4.6e-05,2e-06,4.4e-05,-0.003595,1
78,0.009603,FLAT,0.006527,0.020796,-0.078783,0.089541,-0.188366,-0.001226,-1.2e-05,3e-06,-1.5e-05,-0.00361,0
79,0.003972,FLAT,0.005631,0.032585,-0.062029,0.084931,-0.188366,0.004285,1.7e-05,3e-06,1.4e-05,-0.003596,1
80,0.013742,FLAT,0.00977,-0.280758,-0.055685,0.084931,-0.188366,-0.002814,-3.9e-05,5e-06,-4.4e-05,-0.00364,0
81,0.008329,FLAT,0.005413,0.218305,0.120823,0.491948,-0.188392,0.001102,9e-06,3e-06,6e-06,-0.003633,1
82,0.009053,FLAT,0.000724,-0.030932,0.093779,0.485118,-0.188392,0.001712,1.5e-05,0.0,1.5e-05,-0.003618,1
83,0.008727,FLAT,0.000326,-0.082177,0.068037,0.499871,-0.188392,-0.002446,-2.1e-05,0.0,-2.2e-05,-0.00364,0
84,0.007361,FLAT,0.001366,0.051313,0.085813,0.494565,-0.188392,-0.00098,-7e-06,1e-06,-8e-06,-0.003647,0
85,0.011739,FLAT,0.004378,-0.01091,0.000533,0.469345,-0.188418,-0.001349,-1.6e-05,2e-06,-1.8e-05,-0.003666,0
86,0.00922,FLAT,0.00252,0.02229,-0.001956,0.461277,-0.188418,0.002819,2.6e-05,1e-06,2.5e-05,-0.003641,1
87,0.012591,FLAT,0.003371,0.087797,0.015373,0.466774,-0.188418,-0.001715,-2.2e-05,2e-06,-2.3e-05,-0.003664,0
88,0.017607,FLAT,0.005016,0.034169,0.036696,0.466774,-0.188418,0.000981,1.7e-05,3e-06,1.5e-05,-0.003649,1
89,0.014345,FLAT,0.003262,-0.190019,-0.154635,0.492255,-0.18844,0.002447,3.5e-05,2e-06,3.3e-05,-0.003616,1
90,0.013762,FLAT,0.000583,-0.227727,-0.196236,0.492255,-0.18844,0.004025,5.5e-05,0.0,5.5e-05,-0.003561,1
91,0.012703,FLAT,0.001059,-0.171893,-0.205698,0.475067,-0.18844,0.002431,3.1e-05,1e-06,3e-05,-0.00353,1
92,0.002938,FLAT,0.009765,-0.463262,-0.213529,0.475067,-0.18844,-0.001823,-5e-06,5e-06,-1e-05,-0.003541,0
93,0.008757,FLAT,0.005819,0.153331,-0.093524,0.484327,-0.188457,0.001337,1.2e-05,3e-06,9e-06,-0.003532,1
94,0.0093,FLAT,0.000543,-0.038665,-0.095209,0.484327,-0.188457,0.001457,1.4e-05,0.0,1.3e-05,-0.003519,1
95,0.010712,FLAT,0.001411,0.128651,-0.069576,0.507579,-0.188458,-0.000849,-9e-06,1e-06,-1e-05,-0.003528,0
96,0.007531,FLAT,0.003181,-0.089398,-0.062378,0.507579,-0.188457,-0.002066,-1.6e-05,2e-06,-1.7e-05,-0.003546,0
97,0.018901,FLAT,0.01137,0.291613,-0.11246,-0.13015,-0.188471,0.001702,3.2e-05,6e-06,2.6e-05,-0.003519,1
98,0.013702,FLAT,0.005199,0.044612,-0.106336,-0.131948,-0.188471,-0.001215,-1.7e-05,3e-06,-1.9e-05,-0.003538,0
99,0.011835,FLAT,0.001866,0.431678,-0.07148,-0.131527,-0.188471,-0.003288,-3.9e-05,1e-06,-4e-05,-0.003578,0
100,0.016606,FLAT,0.004771,0.106578,-0.065946,-0.131343,-0.188471,-0.004034,-6.7e-05,2e-06,-6.9e-05,-0.003647,0
101,0.026966,FLAT,0.01036,0.239366,-0.153403,-0.130295,-0.188482,0.000367,1e-05,5e-06,5e-06,-0.003643,1
102,0.019163,FLAT,0.007804,0.289211,-0.082662,-0.129918,-0.188482,0.0,0.0,4e-06,-4e-06,-0.003647,0
103,0.041651,FLAT,0.022488,0.219615,0.031822,-0.130717,-0.188482,0.001591,6.6e-05,1.1e-05,5.5e-05,-0.003592,1
104,0.025327,FLAT,0.016324,-0.095523,0.074099,-0.130717,-0.188482,-0.001835,-4.6e-05,8e-06,-5.5e-05,-0.003646,0
105,0.025943,FLAT,0.000616,0.149058,0.641774,-0.129687,-0.188492,-0.006266,-0.000163,0.0,-0.000163,-0.003809,0
106,0.066307,LONG,0.040364,0.274979,0.585255,-0.129687,-0.188492,0.002585,0.000171,2e-05,0.000151,-0.003658,1
107,0.065471,LONG,0.000836,0.010149,0.599425,-0.129113,-0.188492,0.003068,0.000201,0.0,0.0002,-0.003458,1
108,0.031164,FLAT,0.034307,-0.076755,0.563284,-0.129113,-0.188492,0.000857,2.7e-05,1.7e-05,1e-05,-0.003448,1
109,0.027323,FLAT,0.003841,-0.009513,0.060204,-0.129961,-0.188499,-0.002329,-6.4e-05,2e-06,-6.6e-05,-0.003513,0
110,0.025222,FLAT,0.002101,0.090982,-0.038554,-0.129961,-0.188499,0.003431,8.7e-05,1e-06,8.5e-05,-0.003428,1
111,0.008791,FLAT,0.016431,-0.125584,-0.086448,-0.128913,-0.188499,-0.001224,-1.1e-05,8e-06,-1.9e-05,-0.003447,0
112,-0.10195,SHORT,0.110741,-0.088889,-0.104218,-0.128913,-0.188499,-0.004049,0.000413,5.5e-05,0.000357,-0.00309,1
113,0.024947,FLAT,0.126897,0.146283,0.236758,-0.076718,-0.188507,-0.0016,-4e-05,6.3e-05,-0.000103,-0.003193,0
114,0.025217,FLAT,0.00027,0.055418,0.168191,-0.078331,-0.188507,-0.000246,-6e-06,0.0,-6e-06,-0.003199,0
115,0.041757,FLAT,0.01654,0.034745,0.145506,-0.079807,-0.188507,-0.000739,-3.1e-05,8e-06,-3.9e-05,-0.003238,0
116,0.030231,FLAT,0.011526,0.080037,0.140426,-0.079927,-0.188507,-0.00148,-4.5e-05,6e-06,-5.1e-05,-0.003289,0
117,0.034347,FLAT,0.004116,0.204526,0.006047,-0.079263,-0.188513,-0.002967,-0.000102,2e-06,-0.000104,-0.003393,0
118,0.039968,FLAT,0.005621,0.252952,0.02028,-0.079649,-0.188513,-0.0031,-0.000124,3e-06,-0.000127,-0.00352,0
119,0.07391,LONG,0.033941,0.126799,-0.008505,-0.074908,-0.188513,-0.003359,-0.000248,1.7e-05,-0.000265,-0.003785,0
120,-0.063021,SHORT,0.13693,0.003557,-0.008006,-0.074908,-0.188513,-0.004747,0.000299,6.8e-05,0.000231,-0.003554,1
121,-0.056682,SHORT,0.006339,-0.019406,0.127956,-0.075583,-0.188513,0.001251,-7.1e-05,3e-06,-7.4e-05,-0.003628,0
122,-0.196207,SHORT,0.139526,-0.202617,0.110966,-0.075583,-0.188513,0.003122,-0.000612,7e-05,-0.000682,-0.004311,0
123,-0.227689,SHORT,0.031481,-0.12545,0.255177,-0.075122,-0.188513,0.001495,-0.00034,1.6e-05,-0.000356,-0.004667,0
124,-0.036527,FLAT,0.191162,0.121669,0.246021,-0.075122,-0.188513,0.006081,-0.000222,9.6e-05,-0.000318,-0.004984,0
125,-0.233728,SHORT,0.197201,-0.002674,0.128209,-0.072874,-0.188513,-0.00099,0.000231,9.9e-05,0.000133,-0.004851,1
126,-0.181774,SHORT,0.051954,-0.045813,0.041125,-0.072874,-0.188513,-0.007584,0.001379,2.6e-05,0.001353,-0.003499,1
127,-0.10801,SHORT,0.073764,0.030479,-0.028837,-0.072779,-0.188513,-0.000374,4e-05,3.7e-05,4e-06,-0.003495,1
128,-0.192264,SHORT,0.084254,0.036696,-0.052382,-0.072779,-0.188513,0.006595,-0.001268,4.2e-05,-0.00131,-0.004805,0
129,-0.127965,SHORT,0.064299,-0.066344,0.221434,-0.008877,-0.188513,-0.000496,6.3e-05,3.2e-05,3.1e-05,-0.004774,1
130,0.079391,LONG,0.207356,0.139756,0.125796,-0.01032,-0.188513,-0.001366,-0.000108,0.000104,-0.000212,-0.004986,0
131,0.058409,LONG,0.020982,0.200801,-0.034338,-0.008491,-0.188513,-0.004234,-0.000247,1e-05,-0.000258,-0.005244,0
132,-0.012491,FLAT,0.070901,-0.069357,-0.040344,-0.008637,-0.188513,0.005351,-6.7e-05,3.5e-05,-0.000102,-0.005346,0
