step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
0,19.908667,LONG,0.000414,0.00824,0.009954,-0.001714,-0.001714
1,-19.839138,SHORT,-0.000483,0.00958,0.019874,-0.010293,-0.012007
2,-19.76836,SHORT,0.01057,-0.208961,3.5e-05,-0.208997,-0.221004
3,-19.796316,SHORT,-0.00294,0.058207,1.4e-05,0.058193,-0.162811
4,-19.620569,SHORT,-0.007561,0.148355,8.8e-05,0.148267,-0.014544
5,-19.775597,SHORT,-0.001312,0.025942,7.8e-05,0.025865,0.011321
6,-19.808329,SHORT,-0.000415,0.008213,1.6e-05,0.008197,0.019517
7,-19.795252,SHORT,0.001243,-0.024612,7e-06,-0.024619,-0.005102
8,-19.804079,SHORT,-0.002211,0.043796,4e-06,0.043792,0.03869
9,7.81284,LONG,0.000968,0.007564,0.013808,-0.006245,0.032446
10,19.313784,LONG,-0.003601,-0.069541,0.00575,-0.075292,-0.042846
11,19.868076,LONG,-0.000763,-0.015166,0.000277,-0.015443,-0.058289
12,19.881275,LONG,0.002427,0.048247,7e-06,0.048241,-0.010049
13,19.912489,LONG,0.003595,0.071578,1.6e-05,0.071563,0.061514
14,19.914652,LONG,0.0,0.0,1e-06,-1e-06,0.061513
15,19.918859,LONG,-0.003387,-0.067463,2e-06,-0.067465,-0.005953
16,19.909779,LONG,0.004146,0.082539,5e-06,0.082535,0.076582
17,19.903267,LONG,0.00241,0.047975,3e-06,0.047971,0.124553
18,19.891546,LONG,0.002542,0.050561,6e-06,0.050555,0.175108
19,19.848022,LONG,-0.001167,-0.023164,2.2e-05,-0.023186,0.151922
20,19.888065,LONG,-0.002889,-0.05746,2e-05,-0.05748,0.094442
21,-19.849979,SHORT,-0.000689,0.013679,0.019869,-0.00619,0.088252
22,-19.747578,SHORT,-6.9e-05,0.001361,5.1e-05,0.00131,0.089563
23,-19.755066,SHORT,-0.001656,0.032714,4e-06,0.03271,0.122273
24,-19.741541,SHORT,0.008732,-0.172381,7e-06,-0.172387,-0.050115
25,-19.779852,SHORT,-0.005836,0.11543,1.9e-05,0.115411,0.065296
26,-19.706985,SHORT,-0.002965,0.058435,3.6e-05,0.058399,0.123695
27,-19.26195,SHORT,-0.005401,0.10404,0.000223,0.103817,0.227512
28,-19.328859,SHORT,0.007953,-0.153728,3.3e-05,-0.153761,0.07375
29,19.912169,LONG,0.006386,0.127156,0.019621,0.107536,0.181286
30,19.904934,LONG,0.004644,0.09243,4e-06,0.092426,0.273712
31,19.912561,LONG,0.003401,0.067716,4e-06,0.067712,0.341424
32,19.906984,LONG,0.00156,0.031064,3e-06,0.031061,0.372485
33,18.704052,LONG,-0.002783,-0.05206,0.000601,-0.052661,0.319824
34,19.860659,LONG,0.008259,0.164039,0.000578,0.16346,0.483284
35,-3.747992,SHORT,-0.00446,0.016715,0.011804,0.004911,0.488195
36,-16.161798,SHORT,-0.00448,0.072401,0.006207,0.066194,0.554389
37,-18.421202,SHORT,0.002378,-0.043808,0.00113,-0.044938,0.509451
38,-19.292999,SHORT,-0.006195,0.119519,0.000436,0.119083,0.628534
39,0.591859,LONG,-0.003489,-0.002065,0.009942,-0.012007,0.616526
40,14.332572,LONG,-0.001303,-0.018673,0.00687,-0.025543,0.590983
41,19.912119,LONG,0.004518,0.089971,0.00279,0.087181,0.678164
42,19.917145,LONG,-0.008024,-0.159813,3e-06,-0.159816,0.518348
43,19.912254,LONG,-0.000827,-0.01646,2e-06,-0.016462,0.501886
44,19.915384,LONG,-0.003175,-0.063232,2e-06,-0.063234,0.438652
45,19.91791,LONG,0.005653,0.112593,1e-06,0.112592,0.551244
46,19.919609,LONG,-0.000825,-0.016439,1e-06,-0.01644,0.534804
47,19.910679,LONG,-0.002894,-0.057617,4e-06,-0.057621,0.477183
48,19.918848,LONG,0.000276,0.005497,4e-06,0.005493,0.482676
49,-17.478708,SHORT,0.000758,-0.013257,0.018699,-0.031956,0.450719
50,-19.63755,SHORT,0.004196,-0.082394,0.001079,-0.083474,0.367245
51,-19.754896,SHORT,0.002468,-0.048754,5.9e-05,-0.048813,0.318433
52,-19.789482,SHORT,0.008251,-0.163277,1.7e-05,-0.163294,0.155138
53,3.369434,LONG,-0.000408,-0.001373,0.011579,-0.012953,0.142186
54,17.449589,LONG,-0.003607,-0.062941,0.00704,-0.069981,0.072204
55,19.900356,LONG,0.002519,0.050139,0.001225,0.048913,0.121118
56,19.875267,LONG,0.00068,0.013512,1.3e-05,0.0135,0.134617
57,19.86689,LONG,-0.000612,-0.012156,4e-06,-0.01216,0.122458
58,19.884142,LONG,0.001359,0.027026,9e-06,0.027017,0.149475
59,19.812672,LONG,-0.000815,-0.016153,3.6e-05,-0.016188,0.133286
60,19.837601,LONG,0.001766,0.035025,1.2e-05,0.035013,0.168299
61,18.578142,LONG,0.002372,0.044064,0.00063,0.043435,0.211733
62,-0.669966,SHORT,-0.000406,0.000272,0.009624,-0.009352,0.202381
63,-0.0,FLAT,0.002907,-0.0,0.000335,-0.000335,0.202046
64,-17.593321,SHORT,0.003841,-0.067578,0.008797,-0.076374,0.125672
65,-15.709849,SHORT,-0.000942,0.0148,0.000942,0.013858,0.13953
66,8.020301,LONG,-0.002427,-0.019462,0.011865,-0.031327,0.108203
67,17.816662,LONG,-0.001486,-0.026472,0.004898,-0.03137,0.076833
68,19.911142,LONG,0.000946,0.018831,0.001047,0.017784,0.094617
69,-19.822987,SHORT,-0.002366,0.046902,0.019867,0.027035,0.121653
70,-19.686281,SHORT,-0.004341,0.085459,6.8e-05,0.085391,0.207043
71,-19.393396,SHORT,-6.8e-05,0.001318,0.000146,0.001172,0.208215
72,-19.547005,SHORT,0.002105,-0.04115,7.7e-05,-0.041227,0.166988
73,-19.754362,SHORT,-0.003942,0.077879,0.000104,0.077775,0.244764
74,-19.645689,SHORT,0.0,-0.0,5.4e-05,-5.4e-05,0.244709
75,-19.7089,SHORT,-0.000681,0.013428,3.2e-05,0.013396,0.258105
76,-19.571615,SHORT,-0.002115,0.041393,6.9e-05,0.041325,0.29943
77,-19.741219,SHORT,0.000273,-0.005392,8.5e-05,-0.005477,0.293953
