step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
0,-17.415962,SHORT,0.000414,-0.007209,0.008708,-0.015917,-0.015917
1,-19.839699,SHORT,-0.000483,0.009581,0.001212,0.008369,-0.007548
2,-19.851431,SHORT,0.01057,-0.209839,6e-06,-0.209845,-0.217393
3,-19.854704,SHORT,-0.00294,0.058378,2e-06,0.058377,-0.159016
4,-19.843283,SHORT,-0.007561,0.150039,6e-06,0.150034,-0.008983
5,-19.843006,SHORT,-0.001312,0.026031,0.0,0.026031,0.017048
6,-19.862438,SHORT,-0.000415,0.008235,1e-05,0.008226,0.025274
7,-19.860867,SHORT,0.001243,-0.024694,1e-06,-0.024695,0.000579
8,-19.862562,SHORT,-0.002211,0.043926,1e-06,0.043925,0.044504
9,-19.840498,SHORT,0.000968,-0.019208,1.1e-05,-0.019219,0.025284
10,-19.828894,SHORT,-0.003601,0.071396,6e-06,0.07139,0.096675
11,-19.833591,SHORT,-0.000763,0.01514,2e-06,0.015137,0.111812
12,-19.820421,SHORT,0.002427,-0.0481,7e-06,-0.048106,0.063706
13,11.586804,LONG,0.003595,0.04165,0.015704,0.025947,0.089653
14,-10.452448,SHORT,0.0,-0.0,0.01102,-0.01102,0.078633
15,-2.976643,SHORT,-0.003387,0.010082,0.003738,0.006344,0.084977
16,-17.627111,SHORT,0.004146,-0.073076,0.007325,-0.080401,0.004576
17,-19.683689,SHORT,0.00241,-0.047445,0.001028,-0.048474,-0.043898
18,-19.733591,SHORT,0.002542,-0.050159,2.5e-05,-0.050184,-0.094082
19,-19.758141,SHORT,-0.001167,0.023059,1.2e-05,0.023047,-0.071035
20,-19.785425,SHORT,-0.002889,0.057164,1.4e-05,0.05715,-0.013885
21,-19.830656,SHORT,-0.000689,0.013666,2.3e-05,0.013643,-0.000242
22,-19.841728,SHORT,-6.9e-05,0.001368,6e-06,0.001362,0.00112
23,-19.844881,SHORT,-0.001656,0.032863,2e-06,0.032861,0.033981
24,-19.849867,SHORT,0.008732,-0.173327,2e-06,-0.173329,-0.139348
25,-19.859133,SHORT,-0.005836,0.115892,5e-06,0.115888,-0.02346
26,-19.8304,SHORT,-0.002965,0.058801,1.4e-05,0.058787,0.035327
27,-19.838718,SHORT,-0.005401,0.107155,4e-06,0.107151,0.142478
28,-19.849018,SHORT,0.007953,-0.157865,5e-06,-0.15787,-0.015392
29,18.854301,LONG,0.006386,0.120401,0.019352,0.101049,0.085657
30,-19.433002,SHORT,0.004644,-0.090238,0.019144,-0.109382,-0.023725
31,-19.690329,SHORT,0.003401,-0.06696,0.000129,-0.067089,-0.090814
32,-19.757034,SHORT,0.00156,-0.03083,3.3e-05,-0.030863,-0.121677
33,-19.835463,SHORT,-0.002783,0.055209,3.9e-05,0.05517,-0.066507
34,-19.819996,SHORT,0.008259,-0.163703,8e-06,-0.16371,-0.230218
35,-19.830799,SHORT,-0.00446,0.088441,5e-06,0.088435,-0.141782
