step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
0,19.968426,LONG,0.000414,0.008265,0.009984,-0.001719,-0.001719
1,19.694984,LONG,-0.000483,-0.009511,0.000137,-0.009648,-0.011367
2,19.413713,LONG,0.01057,0.205212,0.000141,0.205072,0.193705
3,18.456036,LONG,-0.00294,-0.054266,0.000479,-0.054745,0.13896
4,19.839964,LONG,-0.007561,-0.150014,0.000692,-0.150706,-0.011746
5,-18.145166,SHORT,-0.001312,0.023804,0.018993,0.004811,-0.006935
6,-19.740232,SHORT,-0.000415,0.008185,0.000798,0.007387,0.000452
7,-19.591497,SHORT,0.001243,-0.024359,7.4e-05,-0.024433,-0.023981
8,-19.696775,SHORT,-0.002211,0.043559,5.3e-05,0.043506,0.019525
9,19.964314,LONG,0.000968,0.019328,0.019831,-0.000503,0.019023
10,19.962219,LONG,-0.003601,-0.071876,1e-06,-0.071877,-0.052855
11,19.965158,LONG,-0.000763,-0.01524,1e-06,-0.015242,-0.068096
12,19.966949,LONG,0.002427,0.048455,1e-06,0.048454,-0.019642
13,19.971786,LONG,0.003595,0.071791,2e-06,0.071789,0.052147
14,19.970221,LONG,0.0,0.0,1e-06,-1e-06,0.052146
15,19.970537,LONG,-0.003387,-0.067638,0.0,-0.067638,-0.015492
16,19.970947,LONG,0.004146,0.082793,0.0,0.082792,0.0673
17,19.968697,LONG,0.00241,0.048132,1e-06,0.048131,0.115431
18,19.962214,LONG,0.002542,0.05074,3e-06,0.050737,0.166168
19,19.957253,LONG,-0.001167,-0.023291,2e-06,-0.023294,0.142875
20,19.963829,LONG,-0.002889,-0.057679,3e-06,-0.057682,0.085192
21,-19.946041,SHORT,-0.000689,0.013745,0.019955,-0.006209,0.078983
22,-19.860088,SHORT,-6.9e-05,0.001369,4.3e-05,0.001326,0.080309
23,-19.91316,SHORT,-0.001656,0.032976,2.7e-05,0.032949,0.113258
24,-19.852255,SHORT,0.008732,-0.173347,3e-05,-0.173378,-0.06012
25,-16.902798,SHORT,-0.005836,0.09864,0.001475,0.097165,0.037045
26,-19.68626,SHORT,-0.002965,0.058374,0.001392,0.056982,0.094028
27,16.897726,LONG,-0.005401,-0.09127,0.018292,-0.109562,-0.015534
28,-8.601486,SHORT,0.007953,-0.06841,0.01275,-0.08116,-0.096694
29,19.961893,LONG,0.006386,0.127474,0.014282,0.113192,0.016498
30,19.96932,LONG,0.004644,0.092729,4e-06,0.092725,0.109223
31,19.96335,LONG,0.003401,0.067889,3e-06,0.067886,0.177109
32,19.965252,LONG,0.00156,0.031154,1e-06,0.031153,0.208262
33,19.938246,LONG,-0.002783,-0.055495,1.4e-05,-0.055508,0.152754
34,19.952564,LONG,0.008259,0.164798,7e-06,0.164791,0.317544
35,19.92095,LONG,-0.00446,-0.088843,1.6e-05,-0.088859,0.228686
36,19.860149,LONG,-0.00448,-0.088968,3e-05,-0.088999,0.139687
37,-18.104176,SHORT,0.002378,-0.043054,0.018982,-0.062036,0.077651
38,-16.720554,SHORT,-0.006195,0.103583,0.000692,0.102891,0.180541
39,-0.0,FLAT,-0.003489,0.0,0.00836,-0.00836,0.172181
40,18.096195,LONG,-0.001303,-0.023576,0.009048,-0.032625,0.139556
41,19.971054,LONG,0.004518,0.090237,0.000937,0.0893,0.228856
42,19.967884,LONG,-0.008024,-0.16022,2e-06,-0.160222,0.068634
43,19.969267,LONG,-0.000827,-0.016507,1e-06,-0.016508,0.052126
44,19.970875,LONG,-0.003175,-0.063408,1e-06,-0.063409,-0.011283
45,19.969147,LONG,0.005653,0.112883,1e-06,0.112882,0.101599
46,19.971107,LONG,-0.000825,-0.016481,1e-06,-0.016482,0.085117
47,19.968573,LONG,-0.002894,-0.057784,1e-06,-0.057786,0.027331
48,19.970671,LONG,0.000276,0.005511,1e-06,0.00551,0.032841
49,-19.914059,SHORT,0.000758,-0.015105,0.019942,-0.035047,-0.002206
50,-19.808138,SHORT,0.004196,-0.08311,5.3e-05,-0.083163,-0.085369
51,-19.86228,SHORT,0.002468,-0.049019,2.7e-05,-0.049046,-0.134415
52,-19.940769,SHORT,0.008251,-0.164525,3.9e-05,-0.164565,-0.29898
53,19.958729,LONG,-0.000408,-0.008134,0.01995,-0.028083,-0.327063
54,19.94981,LONG,-0.003607,-0.07196,4e-06,-0.071964,-0.399028
55,19.960478,LONG,0.002519,0.05029,5e-06,0.050285,-0.348743
56,19.948797,LONG,0.00068,0.013562,6e-06,0.013556,-0.335186
57,-13.654353,SHORT,-0.000612,0.008354,0.016802,-0.008447,-0.343633
58,6.670523,LONG,0.001359,0.009066,0.010162,-0.001096,-0.344729
59,3.795591,LONG,-0.000815,-0.003094,0.001437,-0.004532,-0.349261
60,-4.870056,SHORT,0.001766,-0.008598,0.004333,-0.012931,-0.362193
61,-19.907621,SHORT,0.002372,-0.047218,0.007519,-0.054736,-0.416929
62,-19.869221,SHORT,-0.000406,0.008071,1.9e-05,0.008052,-0.408877
63,-19.620821,SHORT,0.002907,-0.057047,0.000124,-0.057171,-0.466049
64,-19.839722,SHORT,0.003841,-0.076206,0.000109,-0.076316,-0.542364
65,-19.893017,SHORT,-0.000942,0.01874,2.7e-05,0.018714,-0.523651
66,-19.872305,SHORT,-0.002427,0.048221,1e-05,0.04821,-0.47544
67,-19.897665,SHORT,-0.001486,0.029564,1.3e-05,0.029551,-0.445889
68,-19.127235,SHORT,0.000946,-0.01809,0.000385,-0.018475,-0.464364
